"Story","Title","Result","Date","Stability","Duration (s)"
"About Oracle CB50","Oracle CB50 - Featured area","SUCCESS","2018-01-07T17:15:45.900+05:30[Asia/Calcutta]","0.0","38.71"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2018-01-07T17:17:36.700+05:30[Asia/Calcutta]","0.0","31.45"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2018-01-07T17:18:09.921+05:30[Asia/Calcutta]","0.0","38.44"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2018-01-07T17:18:50.091+05:30[Asia/Calcutta]","0.0","37.32"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2018-01-07T17:19:29.200+05:30[Asia/Calcutta]","0.0","54.88"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2018-01-07T17:20:25.730+05:30[Asia/Calcutta]","0.0","38.7"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2018-01-07T17:21:06.058+05:30[Asia/Calcutta]","0.0","417.58"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2018-01-07T17:28:05.634+05:30[Asia/Calcutta]","0.0","28.4"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2018-01-07T17:28:35.639+05:30[Asia/Calcutta]","0.0","44.0"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2018-01-07T17:29:21.295+05:30[Asia/Calcutta]","0.0","42.01"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2018-01-07T17:30:04.963+05:30[Asia/Calcutta]","0.0","33.01"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2018-01-07T17:30:39.633+05:30[Asia/Calcutta]","0.0","35.67"
"DemandSupportCB27v4","CTA Background color","SUCCESS","2018-01-07T17:31:16.991+05:30[Asia/Calcutta]","0.0","37.04"
"DemandSupportCB27v4","Navigate to event page","SUCCESS","2018-01-07T17:31:55.690+05:30[Asia/Calcutta]","0.0","73.69"
"SegmentDivingCB25v2","Hoverover the hyperlinks","SUCCESS","2018-01-07T17:33:11.091+05:30[Asia/Calcutta]","0.0","57.64"
"SegmentDivingCB25v2","Navigate to segment page","SUCCESS","2018-01-07T17:34:10.558+05:30[Asia/Calcutta]","0.0","76.46"
